ORDER_SHOP_CD,Surface_COMMERC,Emplacement_PDV,Coord_L2E_II_X,Coord_L2E_II_Y
75PHSTLEPI,49.0,CV,599728.0,2431733.0
45PHSERUEL,62.0,CC,564556.0,2322840.0
03018FQ4-0,110.0,CV,676363.0,2174436.0
57037FU8-4,404.0,CV,880314.0,2464523.0
82PHSEMONT,142.0,CC,523244.0,1893533.0
86PHSEPOI1,166.0,CV,447249.0,2177774.0
83120SM1-1,70.0,CV,949411.0,1821421.0
06PHSEANTI,142.0,CC,984117.0,1856291.0
15100FV9-4,69.0,CV,659415.0,2003943.0
75020FW3-3,35.0,CV,604487.0,2429741.0
17138FY4-7,138.0,CC,333399.0,2136367.0
07PHSEDAVE,106.0,CV,784804.0,2030980.0
20MOBIPRIA,52.0,CV,1149520.0,1652459.0
84100FR6-5,137.0,CC,798094.0,1907130.0
07PHSEGUIL,36.0,CC,799567.0,1996237.0
28MOBINOGE,63.0,CC,488500.0,2371138.0
69700MUC-2,63.0,CC,788560.0,2067704.0
75009G33-5,164.0,CV,599805.0,2430502.0
33140FX5-2,142.0,CC,363173.0,1985382.0
61014FM7-0,130.0,CV,433645.0,2383674.0
54MOBIPONT,80.0,CV,872415.0,2440139.0
42PHSEFEUR,58.0,CV,746879.0,2084309.0
04008FQ7-3,121.0,CC,908823.0,1904877.0
74PHSEONON,58.0,CC,915264.0,2157705.0
75PHSEPA14,67.0,CV,599378.0,2425642.0
72PHSEFLEC,74.0,CV,419048.0,2302768.0
29PHSELAND,174.0,CV,113343.0,2404013.0
67PHSEHAUT,134.0,CC,995191.0,2412800.0
78PHSEBUCH,139.0,CC,551369.0,2443370.0
75SDRCOMME,40.0,CV,596984.0,2427575.0
15PHSESTFL,69.0,CV,659415.0,2003943.0
63170FF7-5,143.0,CC,661522.0,2083986.0
01PHSEBOUR,50.0,CC,824206.0,2137509.0
41100FP6-3,91.0,CV,504929.0,2311044.0
72PHSEMANS,125.0,CC,443627.0,2329319.0
16PHSERONN,121.0,CC,425733.0,2071012.0
41PHSEVEND,91.0,CV,504929.0,2311044.0
85PHSEBOUF,98.0,CC,320873.0,2225496.0
40PHSEBISC,131.0,CC,320697.0,1940544.0
72300FU5-A,58.0,CV,400589.0,2318922.0
19012FP5-2,138.0,CV,554863.0,2029307.0
67100FT5-5,198.0,CC,998881.0,2412004.0
20PHSESARR,154.0,CC,1136511.0,1682913.0
50200FP2-3,114.0,CV,323566.0,2456801.0
93PHSEMONT,125.0,CC,605905.0,2428504.0
30PHSEANGL,134.0,CC,793620.0,1887340.0
77410FS6-4,157.0,CC,623948.0,2438846.0
75SDRREPUB,173.0,CV,601988.0,2429862.0
26PHSENYON,78.0,CV,823348.0,1932771.0
54MOBITOUL,46.0,CV,861624.0,2414287.0
33210FL6-A,161.0,CV,394588.0,1953640.0
29PHSESTMA,73.0,CC,143619.0,2415149.0
13600BOUT1,65.0,CC,866069.0,1803938.0
87PHSELIM1,133.0,CC,518898.0,2098229.0
73000FR2-7,110.0,CV,879646.0,2069273.0
21PHSEBEAU,109.0,CV,790083.0,2227817.0
01011FG1-6,100.0,CV,823023.0,2137980.0
10100FA5-2,62.0,CC,705697.0,2390560.0
71PHSECREC,133.0,CC,789297.0,2141906.0
06MOBIBOSO,61.0,CV,1010197.0,1873353.0
14PHSEMOND,100.0,CC,408140.0,2466371.0
76MOBIGOUR,86.0,CV,555655.0,2498542.0
75017FR7-1,84.0,CV,599319.0,2431760.0
75SDRBEAUM,239.0,CV,602623.0,2428215.0
30900F1F-8,206.0,CC,763092.0,1869961.0
44400BLJ-0,53.0,CC,303833.0,2251125.0
13PHSEAUBA,82.0,CC,864570.0,1815615.0
75009OP9-5,1385.0,CV,599731.0,2430421.0
09100FW1-4,122.0,CV,542117.0,1789209.0
86000FN4-5,163.0,CV,447249.0,2177774.0
20PHSEPROP,56.0,CV,1149520.0,1652459.0
22MOBILAMB,96.0,CV,241497.0,2396705.0
80100FZ3-1,133.0,CV,563927.0,2567948.0
62280DFR-2,60.0,CC,553218.0,2638143.0
77PHSEFONT,90.0,CV,626900.0,2378594.0
61PHSEAIGL,132.0,CV,474236.0,2419793.0
54300FW2-2,44.0,CV,906852.0,2407061.0
37000FE2-7,236.0,CV,475491.0,2267400.0
62PHSECALA,69.0,CC,562741.0,2661411.0
20PHSEFURI,170.0,CC,1183291.0,1765323.0
69002AY7-5,123.0,CV,794398.0,2087744.0
26021FE4-0,149.0,CV,801717.0,1995436.0
34PHSESTJE,61.0,CC,722220.0,1842289.0
85MOBIFONT,56.0,CC,357575.0,2167597.0
75PHSEBONN,37.0,CV,601137.0,2430169.0
54MOBIFROU,47.0,CC,880312.0,2422840.0
88207FE1-4,75.0,CV,917367.0,2343854.0
06700FQ2-2,188.0,CC,992305.0,1862938.0
68300FF2-1,107.0,CV,992963.0,2300558.0
44407FC1-0,148.0,CC,305672.0,2247417.0
59PHSTLILL,54.0,CV,651947.0,2627171.0
87PHSELIBO,144.0,CC,520024.0,2086964.0
77130FJ9-1,138.0,CC,645488.0,2374185.0
80MOBIPERR,44.0,CC,642237.0,2549357.0
29PHSECONC,62.0,CV,132564.0,2337776.0
87033FK5-1,164.0,CV,516235.0,2092844.0
