ORDER_SHOP_CD,volume_total,ca_estime,age_moyen,distance_moyenne,geolife_dominant,emplacement,surface,canal,vol_T,vol_I,vol_M,pct_T,pct_I,pct_M,cout_fonctionnement,marge_estimee,score_rentabilite,rentable,croissance_yoy,vs_mediane,profil_chalandise,decision
04PHSESIST,658,131600.0,50.18421052631579,109.53091405446864,Rural traditionnel,CV,42.0,Réseau Partenaire,264,163,231,40.1,24.8,35.1,65000.0,66600.0,2.02,True,30.9,8125.0,Régionale (>20km),DÉVELOPPER
05008FT3-2,1868,373600.0,53.14875072632191,133.25835777457684,Résidence secondaire,CV,92.0,Agence Distribution,1146,255,467,61.3,13.7,25.0,65000.0,308600.0,5.75,True,1.9,23250.0,Régionale (>20km),MAINTENIR
05APVEGAP,46,9200.0,50.0,,Résidence secondaire,,,,0,0,46,0.0,0.0,100.0,65000.0,-55800.0,0.14,False,87.5,475.0,Inconnu,FERMER
05GDTPROBR,18,3600.0,57.0,,Urbain classe moyenne,,,,0,0,18,0.0,0.0,100.0,65000.0,-61400.0,0.06,False,700.0,125.0,Inconnu,FERMER
05MOBIAGE,1,200.0,,,Urbain familial aisé,,,,0,0,1,0.0,0.0,100.0,65000.0,-64800.0,0.0,False,,-87.5,Inconnu,FERMER
05MOBIBRIA,3,600.0,45.666666666666664,,PériUrbain en croissance,CV,82.0,Réseau Partenaire,0,0,3,0.0,0.0,100.0,65000.0,-64400.0,0.01,False,-50.0,-62.5,Inconnu,FERMER
05MOBIGAP,1,200.0,,,PériUrbain en croissance,,,Réseau Partenaire,0,0,1,0.0,0.0,100.0,65000.0,-64800.0,0.0,False,,-87.5,Inconnu,FERMER
05MOBIGAP1,2,400.0,64.0,,PériUrbain en croissance,HORS CV ET CC,97.0,Réseau Partenaire,0,0,2,0.0,0.0,100.0,65000.0,-64600.0,0.01,False,-100.0,-75.0,Inconnu,FERMER
05PHSEBRIA,701,140200.0,50.137071651090345,177.55533897093153,Résidence secondaire,CV,82.0,Réseau Partenaire,314,172,215,44.8,24.5,30.7,65000.0,75200.0,2.16,True,44.3,8662.5,Régionale (>20km),DÉVELOPPER
06000FD7-3,4,800.0,59.0,1.0394306643032438,Urbain classe moyenne,CC,124.0,Agence Distribution,0,0,4,0.0,0.0,100.0,85000.0,-84200.0,0.01,False,0.0,-50.0,Locale (<10km),FERMER
06000FIDSC,28,5600.0,54.357142857142854,,Résidence secondaire,,,Service Client Home,0,26,2,0.0,92.9,7.1,65000.0,-59400.0,0.09,False,80.0,250.0,Inconnu,FERMER
06000GX6-5,13,2600.0,57.46153846153846,,Urbain familial aisé,,,Agence Distribution,0,0,13,0.0,0.0,100.0,65000.0,-62400.0,0.04,False,16.7,62.5,Inconnu,FERMER
06000XDY-B,2569,513800.0,52.67873491468997,2.1241369800824565,Urbain classe moyenne,CV,114.0,Agence Distribution,1162,587,820,45.2,22.8,31.9,65000.0,448800.0,7.9,True,3.2,32012.5,Locale (<10km),MAINTENIR
06036FD7-0,1993,398600.0,53.22851041110518,3.0782582952402175,Populaire,CC,175.0,Agence Distribution,1045,360,588,52.4,18.1,29.5,85000.0,313600.0,4.69,True,12.2,24812.5,Locale (<10km),MAINTENIR
06036FQ2-5,1,200.0,79.0,,Populaire,,,,0,0,1,0.0,0.0,100.0,65000.0,-64800.0,0.0,False,,-87.5,Inconnu,FERMER
06130FH3-2,802,160400.0,56.43790849673203,7.019649252886445,Urbain familial aisé,CV,130.0,Agence Distribution,433,137,232,54.0,17.1,28.9,65000.0,95400.0,2.47,True,-96.2,9925.0,Locale (<10km),MAINTENIR
06200W4C-1,3726,745200.0,50.763521288837744,9.199134238312269,Urbain classe moyenne,CC,124.0,Agence Distribution,1937,579,1210,52.0,15.5,32.5,85000.0,660200.0,8.77,True,12.2,46475.0,Locale (<10km),MAINTENIR
06402FH3-0,2227,445400.0,54.67439659252248,4.654814376083718,Urbain classe moyenne,CV,270.0,Agence Distribution,1063,506,658,47.7,22.7,29.5,65000.0,380400.0,6.85,True,21.4,27737.5,Locale (<10km),DÉVELOPPER
06500FD7-5,45,9000.0,48.44444444444444,1.6463156961063588,Résidence secondaire,CV,107.0,Agence Distribution,0,0,45,0.0,0.0,100.0,65000.0,-56000.0,0.14,False,-4.3,462.5,Locale (<10km),FERMER
066003J6-5,4,800.0,51.5,,Populaire,,,Agence Distribution,0,0,4,0.0,0.0,100.0,65000.0,-64200.0,0.01,False,200.0,-50.0,Inconnu,FERMER
06600FH3-1,569,113800.0,56.08256880733945,2.0694677460296296,Urbain classe moyenne,CV,162.0,Agence Distribution,273,103,193,48.0,18.1,33.9,65000.0,48800.0,1.75,True,-95.2,7012.5,Locale (<10km),MAINTENIR
06700FQ2-2,4148,829600.0,52.15054319710295,10.506025344773745,Urbain classe moyenne,CC,188.0,Agence Distribution,2347,595,1206,56.6,14.3,29.1,85000.0,744600.0,9.76,True,10.2,51750.0,Semi-locale (10-20km),MAINTENIR
06APPLNICE,6,1200.0,53.0,,Résidence secondaire,,,,0,0,6,0.0,0.0,100.0,65000.0,-63800.0,0.02,False,100.0,-25.0,Inconnu,FERMER
06APVEANT1,18,3600.0,52.333333333333336,,Résidence secondaire,,,,0,0,18,0.0,0.0,100.0,65000.0,-61400.0,0.06,False,-100.0,125.0,Inconnu,FERMER
06APVECAN1,138,27600.0,53.20168067226891,,Urbain classe moyenne,,,,0,0,138,0.0,0.0,100.0,65000.0,-37400.0,0.42,False,375.0,1625.0,Inconnu,FERMER
06APVEGRAS,17,3400.0,56.5,,Urbain familial aisé,,,,0,0,17,0.0,0.0,100.0,65000.0,-61600.0,0.05,False,-86.7,112.5,Inconnu,FERMER
06APVENIC2,113,22600.0,47.46153846153846,,Urbain classe moyenne,,,,0,0,113,0.0,0.0,100.0,65000.0,-42400.0,0.35,False,97.4,1312.5,Inconnu,FERMER
06APVENIC3,79,15800.0,50.40845070422535,,Populaire,,,,0,0,79,0.0,0.0,100.0,65000.0,-49200.0,0.24,False,63.3,887.5,Inconnu,FERMER
06APVENICE,78,15600.0,54.45454545454545,,Urbain classe moyenne,,,,0,0,78,0.0,0.0,100.0,65000.0,-49400.0,0.24,False,69.0,875.0,Inconnu,FERMER
06APVESTLA,135,27000.0,47.421052631578945,,Urbain classe moyenne,,,,0,0,135,0.0,0.0,100.0,65000.0,-38000.0,0.42,False,155.3,1587.5,Inconnu,FERMER
06AUCHNICE,3,600.0,49.0,,Pavillonnaire familial,,,Réseau Concurrentiel,0,0,3,0.0,0.0,100.0,65000.0,-64400.0,0.01,False,-50.0,-62.5,Inconnu,FERMER
06CARRANTI,1,200.0,59.0,,PériUrbain en croissance,,,Réseau Concurrentiel,0,0,1,0.0,0.0,100.0,65000.0,-64800.0,0.0,False,-100.0,-87.5,Inconnu,FERMER
06CARRNICE,1,200.0,,,Urbain classe moyenne,,,,0,0,1,0.0,0.0,100.0,65000.0,-64800.0,0.0,False,-100.0,-87.5,Inconnu,FERMER
06CORISENA,1,200.0,89.0,,Urbain classe moyenne,,,,0,0,1,0.0,0.0,100.0,65000.0,-64800.0,0.0,False,,-87.5,Inconnu,FERMER
06DVIBIOT,2,400.0,59.0,,Populaire,,,Direction des ventes indirectes,0,2,0,0.0,100.0,0.0,65000.0,-64600.0,0.01,False,-100.0,-75.0,Inconnu,FERMER
06FIBRECA1,1274,254800.0,50.907378335949765,,Résidence secondaire,,,Porte A Porte,0,1274,0,0.0,100.0,0.0,65000.0,189800.0,3.92,True,57.9,15825.0,Inconnu,DÉVELOPPER
